3.000001	51.4444037051
3.000002	55.7886097002
3.000003	51.9923699655
3.000004	52.2046193521
5.000001	57.6355296961
5.000002	56.791007477
5.000003	58.3224032526
5.000004	57.2300328245
7.000001	52.1590858101
7.000002	64.3672115254
7.000003	54.1872145923
7.000004	65.6121636057
9.000001	79.4039292443
9.000002	84.4498424509
9.000003	80.5008615982
9.000004	71.2582504942
15.000001	132.4902369364
15.000002	130.8112822378
15.000003	136.689034185
15.000004	137.0878322136
18.000005	383.5597142736
18.000006	385.7903974303
18.000007	410.6113243845
18.000008	410.7887674807
